confidence,abs_error
0.415836,14.7168
0.442306,10.529
0.4433,13.7068
0.444246,15.0951
0.450074,19.6777
0.453489,4.67932
0.453736,6.92515
0.454518,6.94406
0.45477,3.6982
0.45649,7.17857
0.460948,0.116452
0.462086,0.565587
0.464953,6.23159
0.467516,6.63369
0.468143,7.62867
0.468243,20.7853
0.468305,5.35084
0.468928,6.64851
0.469044,1.71885
0.469477,5.32126
0.470038,4.38861
0.470484,12.5106
0.471802,1.59317
0.472029,7.64626
0.472046,13.4859
0.472075,6.2181
0.472116,1.37823
0.472981,3.18283
0.47312,15.8186
0.474151,6.4482
0.476167,3.42274
0.477737,4.92486
0.477971,9.21063
0.478403,9.31869
0.478664,0.0104227
0.478843,3.27437
0.478964,11.2311
0.479511,5.99389
0.479769,9.60353
0.480055,4.01474
0.480471,2.01152
0.480737,3.12411
0.480764,4.24647
0.480802,4.63896
0.480857,3.08466
0.480895,3.15544
0.481355,2.22057
0.481647,0.582454
0.482144,0.36647
0.482701,8.11178
0.483187,2.12099
0.483862,7.29057
0.483953,9.16284
0.484376,2.64199
0.48488,5.58254
0.485033,1.45801
0.485426,5.35117
0.485443,11.4999
0.485925,1.46333
0.485953,15.1906
0.486057,2.33407
0.486786,2.2549
0.486902,0.0902475
0.487075,2.72788
0.487182,7.23006
0.487266,0.692977
0.487346,7.02364
0.488059,1.61038
0.488167,3.27763
0.488382,0.451704
0.488486,3.0358
0.488546,6.63024
0.488807,5.6442
0.488933,4.50577
0.488969,0.837665
0.490583,4.90841
0.490879,6.61435
0.490985,2.08647
0.491895,0.29569
0.492013,13.9777
0.492197,4.01741
0.492467,3.89709
0.492532,3.27026
0.492971,3.93595
0.492989,7.80332
0.493067,5.60216
0.493124,7.59262
0.493211,0.263568
0.493318,4.1686
0.493733,0.899577
0.493923,2.58261
0.493957,10.3088
0.494245,1.57922
0.494326,1.01138
0.494576,5.64862
0.494764,4.22569
0.494964,14.1465
0.495087,6.67241
0.495105,7.23796
0.495242,3.67727
0.495507,4.87578
0.495533,8.13789
0.495628,2.42078
0.495792,5.65198
0.495875,5.44817
0.496129,4.34741
0.496249,2.91927
0.496383,2.21346
0.496423,1.54289
0.496719,3.14262
0.496994,3.92496
0.497033,0.430875
0.497097,0.279742
0.497211,4.13024
0.497454,5.69354
0.497513,5.34455
0.49756,4.29886
0.497663,12.8249
0.497696,5.13941
0.497933,1.20773
0.49811,4.94821
0.498278,1.88297
0.498418,5.05513
0.498819,1.10144
0.499015,6.78217
0.499056,2.23374
0.499114,0.348401
0.499319,7.00531
0.499475,0.0625179
0.499667,5.0738
0.499785,0.923718
0.499798,0.252703
0.499958,6.07187
0.499991,6.33961
0.50007,0.995685
0.50023,2.84357
0.500446,3.46633
0.50049,8.81923
0.500591,4.93188
0.500603,0.657582
0.500721,6.85024
0.500751,1.31907
0.500801,2.03037
0.500901,1.12031
0.500995,6.6719
0.501135,1.96595
0.501173,6.72008
0.501188,3.25711
0.501201,2.64333
0.501719,5.62505
0.50206,0.144728
0.502224,5.56994
0.502285,5.11625
0.502349,8.56148
0.502369,0.382074
0.5024,4.59666
0.502556,1.07893
0.502597,4.98063
0.502627,8.37706
0.502809,8.4856
0.503467,5.18602
0.50347,6.207
0.503702,5.50638
0.503729,2.94481
0.50387,4.8584
0.503921,12.0276
0.504009,1.39379
0.504178,8.54121
0.504279,1.73238
0.504333,5.55901
0.504337,3.31162
0.504443,3.91909
0.50453,3.89067
0.504553,13.5724
0.50461,2.65832
0.504641,3.05372
0.504838,6.75604
0.504942,0.607249
0.505108,0.45426
0.505208,7.2184
0.505318,7.74132
0.505318,4.50054
0.50544,3.73415
0.50561,3.8825
0.505741,4.50627
0.505855,0.0763918
0.505944,4.38631
0.506169,10.9083
0.506194,1.54199
0.506209,4.23138
0.506262,3.23116
0.506349,1.4681
0.506521,7.33671
0.506642,1.78748
0.506644,1.44324
0.50666,2.25103
0.506676,1.72832
0.506848,5.10896
0.507256,2.4153
0.507365,1.46006
0.507449,3.97642
0.507449,0.772103
0.507486,0.722973
0.507497,0.400728
0.507532,1.89615
0.507581,5.49881
0.507607,3.01051
0.507765,1.48711
0.50777,5.93585
0.507818,3.19729
0.507869,4.30039
0.507933,7.41429
0.508171,1.69269
0.508218,3.19602
0.508268,3.13724
0.508313,4.26486
0.508467,5.11794
0.508523,2.55971
0.50854,0.685586
0.508629,4.20091
0.508733,3.38453
0.508768,11.1431
0.508818,0.634213
0.508928,2.14204
0.508967,7.23544
0.50901,2.07403
0.5091,2.23427
0.509153,4.41651
0.509293,5.89779
0.50931,2.75782
0.509842,1.49387
0.510126,4.25052
0.510163,5.79249
0.510168,7.7865
0.510201,0.642146
0.510358,3.1794
0.510375,6.37915
0.510383,1.13814
0.51041,1.99733
0.510529,3.8417
0.51058,1.90594
0.510829,4.71891
0.510934,6.1919
0.510939,3.21079
0.511119,0.0083103
0.511251,5.01876
0.511254,6.40511
0.511376,3.78315
0.511405,4.06276
0.511582,0.247018
0.511632,1.11286
0.511736,0.639396
0.511779,6.96705
0.511891,3.09835
0.511904,1.67848
0.511905,9.48322
0.511909,0.509626
0.512063,9.4713
0.512076,0.215388
0.512235,1.30952
0.512562,3.28862
0.512579,5.76658
0.512615,3.18737
0.512637,2.90479
0.512819,4.03647
0.512932,5.78073
0.513231,5.32707
0.51327,1.9078
0.513344,6.29504
0.513487,5.87141
0.513527,1.18834
0.513589,0.80886
0.51363,13.5878
0.513685,8.70588
0.513688,1.47349
0.513731,1.16204
0.513833,5.02328
0.513862,7.43799
0.51392,4.12687
0.513962,0.297953
0.513997,8.06889
0.514187,2.07731
0.514247,1.68666
0.514272,0.413013
0.514389,2.19768
0.51447,0.809437
0.514485,7.62829
0.514589,0.574385
0.514628,6.83369
0.514708,9.29241
0.514725,5.34721
0.514758,1.11844
0.514759,0.438767
0.51484,9.8323
0.51485,0.285122
0.514901,2.92233
0.515289,7.47248
0.515314,0.0265433
0.515414,1.17781
0.515518,1.59366
0.515688,10.5355
0.515735,3.23911
0.515759,1.24647
0.515883,0.977888
0.515889,7.754
0.515945,4.60945
0.515962,4.70257
0.516013,0.538619
0.516026,2.45553
0.516183,1.65003
0.516216,3.40741
0.516248,6.13532
0.51625,3.70671
0.51626,0.254269
0.516326,1.81245
0.51636,4.60191
0.5164,7.0295
0.51641,5.24674
0.516411,0.356112
0.516411,7.56025
0.516446,2.62008
0.516482,7.12343
0.516646,0.0575865
0.516732,6.45937
